logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,sca.adj.pval,BD_vs_D,Diff_Abund,negLog10_sca_adjPval,Genes,ProtDesc,Protein.Names,Protein.Ids
,,,1.0,1.0,,LYNX1_HUMAN,2,,1.0,1.0,,Non-significant,-0.0,LYNX1,Ly-6/neurotoxin-like protein 1,LYNX1_HUMAN,P0DP58
,,,1.0,1.0,,IL8_HUMAN,3,,1.0,1.0,,Non-significant,-0.0,CXCL8,Interleukin-8,IL8_HUMAN,P10145
,,,1.0,1.0,,GTR3_HUMAN;GTR14_HUMAN,3,,1.0,1.0,,Non-significant,-0.0,SLC2A3;SLC2A14,"Solute carrier family 2, facilitated glucose transporter member 3;Solute carrier family 2, facilitated glucose transporter member 14",GTR3_HUMAN;GTR14_HUMAN,P11169;Q8TDB8
,,,1.0,1.0,,CO6A2_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,COL6A2,Collagen alpha-2(VI) chain,CO6A2_HUMAN,P12110
,,,1.0,1.0,,CO6A3_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,COL6A3,Collagen alpha-3(VI) chain,CO6A3_HUMAN,P12111
,,,1.0,1.0,,ACE_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,ACE,Angiotensin-converting enzyme,ACE_HUMAN,P12821
,,,1.0,1.0,,NCAM1_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,NCAM1,Neural cell adhesion molecule 1,NCAM1_HUMAN,P13591
,,,1.0,1.0,,MMP9_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,MMP9,Matrix metalloproteinase-9,MMP9_HUMAN,P14780
,,,1.0,1.0,,FOSL2_HUMAN,2,,1.0,1.0,,Non-significant,-0.0,FOSL2,Fos-related antigen 2,FOSL2_HUMAN,P15408
,,,1.0,1.0,,INAR1_HUMAN,1,,1.0,1.0,,Non-significant,-0.0,IFNAR1,Interferon alpha/beta receptor 1,INAR1_HUMAN,P17181
,,,1.0,1.0,,CP7A1_HUMAN,3,,1.0,1.0,,Non-significant,-0.0,CYP7A1,Cytochrome P450 7A1,CP7A1_HUMAN,P22680
,,,1.0,1.0,,LAMA2_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,LAMA2,Laminin subunit alpha-2,LAMA2_HUMAN,P24043
,,,1.0,1.0,,HXK4_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,GCK,Hexokinase-4,HXK4_HUMAN,P35557
,,,1.0,1.0,,TIE1_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,TIE1,Tyrosine-protein kinase receptor Tie-1,TIE1_HUMAN,P35590
,,,1.0,1.0,,ACV1B_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,ACVR1B,Activin receptor type-1B,ACV1B_HUMAN,P36896
,,,1.0,1.0,,TSP3_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,THBS3,Thrombospondin-3,TSP3_HUMAN,P49746
,,,1.0,1.0,,CA2D1_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,CACNA2D1,Voltage-dependent calcium channel subunit alpha-2/delta-1,CA2D1_HUMAN,P54289
,,,1.0,1.0,,CAD11_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,CDH11,Cadherin-11,CAD11_HUMAN,P55287
,,,1.0,1.0,,AT2B2_HUMAN,1,,1.0,1.0,,Non-significant,-0.0,ATP2B2,Plasma membrane calcium-transporting ATPase 2,AT2B2_HUMAN,Q01814
,,,1.0,1.0,,GABP1_HUMAN,2,,1.0,1.0,,Non-significant,-0.0,GABPB1,GA-binding protein subunit beta-1,GABP1_HUMAN,Q06547
,,,1.0,1.0,,MD2L1_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,MAD2L1,Mitotic spindle assembly checkpoint protein MAD2A,MD2L1_HUMAN,Q13257
,,,1.0,1.0,,PTK7_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,PTK7,Inactive tyrosine-protein kinase 7,PTK7_HUMAN,Q13308
,,,1.0,1.0,,NID2_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,NID2,Nidogen-2,NID2_HUMAN,Q14112
,,,1.0,1.0,,QPCT_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,QPCT,Glutaminyl-peptide cyclotransferase,QPCT_HUMAN,Q16769
,,,1.0,1.0,,NOTUM_HUMAN,3,,1.0,1.0,,Non-significant,-0.0,NOTUM,Palmitoleoyl-protein carboxylesterase NOTUM,NOTUM_HUMAN,Q6P988
,,,1.0,1.0,,TX261_HUMAN,2,,1.0,1.0,,Non-significant,-0.0,TEX261,Protein TEX261,TX261_HUMAN,Q6UWH6
,,,1.0,1.0,,ABRX1_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,ABRAXAS1,BRCA1-A complex subunit Abraxas 1,ABRX1_HUMAN,Q6UWZ7
,,,1.0,1.0,,PXDC2_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,PLXDC2,Plexin domain-containing protein 2,PXDC2_HUMAN,Q6UX71
,,,1.0,1.0,,NPNT_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,NPNT,Nephronectin,NPNT_HUMAN,Q6UXI9
,,,1.0,1.0,,ADAT2_HUMAN,1,,1.0,1.0,,Non-significant,-0.0,ADAT2,tRNA-specific adenosine deaminase 2,ADAT2_HUMAN,Q7Z6V5
,,,1.0,1.0,,GALT7_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,GALNT7,N-acetylgalactosaminyltransferase 7,GALT7_HUMAN,Q86SF2
,,,1.0,1.0,,FRAS1_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,FRAS1,Extracellular matrix organizing protein FRAS1,FRAS1_HUMAN,Q86XX4
,,,1.0,1.0,,RHG24_HUMAN,2,,1.0,1.0,,Non-significant,-0.0,ARHGAP24,Rho GTPase-activating protein 24,RHG24_HUMAN,Q8N264
,,,1.0,1.0,,PAQR4_HUMAN,3,,1.0,1.0,,Non-significant,-0.0,PAQR4,Progestin and adipoQ receptor family member 4,PAQR4_HUMAN,Q8N4S7
,,,1.0,1.0,,TBC16_HUMAN,2,,1.0,1.0,,Non-significant,-0.0,TBC1D16,TBC1 domain family member 16,TBC16_HUMAN,Q8TBP0
,,,1.0,1.0,,CEMIP_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,CEMIP,Cell migration-inducing and hyaluronan-binding protein,CEMIP_HUMAN,Q8WUJ3
,,,1.0,1.0,,TP8L1_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,TNFAIP8L1,Tumor necrosis factor alpha-induced protein 8-like protein 1,TP8L1_HUMAN,Q8WVP5
,,,1.0,1.0,,F168A_HUMAN,3,,1.0,1.0,,Non-significant,-0.0,FAM168A,Protein FAM168A,F168A_HUMAN,Q92567
,,,1.0,1.0,,APBP2_HUMAN,3,,1.0,1.0,,Non-significant,-0.0,APPBP2,Amyloid protein-binding protein 2,APBP2_HUMAN,Q92624
,,,1.0,1.0,,HMR1_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,MR1,Major histocompatibility complex class I-related gene protein,HMR1_HUMAN,Q95460
,,,1.0,1.0,,HVCN1_HUMAN,1,,1.0,1.0,,Non-significant,-0.0,HVCN1,Voltage-gated hydrogen channel 1,HVCN1_HUMAN,Q96D96
,,,1.0,1.0,,INT15_HUMAN,3,,1.0,1.0,,Non-significant,-0.0,INTS15,Integrator complex subunit 15,INT15_HUMAN,Q96N11
,,,1.0,1.0,,SORT_HUMAN,1,,1.0,1.0,,Non-significant,-0.0,SORT1,Sortilin,SORT_HUMAN,Q99523
,,,1.0,1.0,,M3K5_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,MAP3K5,Mitogen-activated protein kinase kinase kinase 5,M3K5_HUMAN,Q99683
,,,1.0,1.0,,ARI3A_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,ARID3A,AT-rich interactive domain-containing protein 3A,ARI3A_HUMAN,Q99856
,,,1.0,1.0,,PLVAP_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,PLVAP,Plasmalemma vesicle-associated protein,PLVAP_HUMAN,Q9BX97
,,,1.0,1.0,,B2L14_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,BCL2L14,Apoptosis facilitator Bcl-2-like protein 14,B2L14_HUMAN,Q9BZR8
,,,1.0,1.0,,METL9_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,METTL9,Protein-L-histidine N-pros-methyltransferase,METL9_HUMAN,Q9H1A3
,,,1.0,1.0,,GREM2_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,GREM2,Gremlin-2,GREM2_HUMAN,Q9H772
,,,1.0,1.0,,ZMAT3_HUMAN,1,,1.0,1.0,,Non-significant,-0.0,ZMAT3,Zinc finger matrin-type protein 3,ZMAT3_HUMAN,Q9HA38
,,,1.0,1.0,,KC1G1_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,CSNK1G1,Casein kinase I isoform gamma-1,KC1G1_HUMAN,Q9HCP0
,,,1.0,1.0,,FXL12_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,FBXL12,F-box/LRR-repeat protein 12,FXL12_HUMAN,Q9NXK8
,,,1.0,1.0,,ANGL2_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,ANGPTL2,Angiopoietin-related protein 2,ANGL2_HUMAN,Q9UKU9
,,,1.0,1.0,,ZN652_HUMAN,2,,1.0,1.0,,Non-significant,-0.0,ZNF652,Zinc finger protein 652,ZN652_HUMAN,Q9Y2D9
,,,1.0,1.0,,RNF11_HUMAN,1,,1.0,1.0,,Non-significant,-0.0,RNF11,RING finger protein 11,RNF11_HUMAN,Q9Y3C5
,,,1.0,1.0,,EMIL1_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,EMILIN1,EMILIN-1,EMIL1_HUMAN,Q9Y6C2
4.28512096405029,8.833686828613278,,0.0003224496476140391,0.0024038489198378726,,COMP_HUMAN,7,,0.0003224496476140391,0.0024038489198378726,-4.28512096405029,Up,2.6190928309049752,COMP,Cartilage oligomeric matrix protein,COMP_HUMAN,P49747
4.20074081420898,7.819052457809448,,0.0003723262621727785,0.002694760658994324,,MATN3_HUMAN,6,,0.0003723262621727785,0.002694760658994324,-4.20074081420898,Up,2.5694798015696168,MATN3,Matrilin-3,MATN3_HUMAN,O15232
3.99443304538727,,,1.0,1.0,,PCD12_HUMAN,5,,1.0,1.0,-3.99443304538727,Non-significant,-0.0,PCDH12,Protocadherin-12,PCD12_HUMAN,Q9NPG4
3.84681193033854,8.262790362040189,,5.823133083616021e-07,3.0954811927168384e-05,,CLC11_HUMAN,7,,5.823133083616021e-07,3.0954811927168384e-05,-3.84681193033854,Up,4.509271830295596,CLEC11A,C-type lectin domain family 11 member A,CLC11_HUMAN,Q9Y240
3.77539587020874,10.967376470565803,,5.5535449745498415e-09,2.076674725311939e-06,,TSP4_HUMAN,8,,5.5535449745498415e-09,2.076674725311939e-06,-3.77539587020874,Up,5.682631522754691,THBS4,Thrombospondin-4,TSP4_HUMAN,P35443
3.73790240287781,,,1.0,1.0,,MRC2_HUMAN,5,,1.0,1.0,-3.73790240287781,Non-significant,-0.0,MRC2,C-type mannose receptor 2,MRC2_HUMAN,Q9UBG0
3.56929659843445,9.376260638237014,,3.006744809173797e-08,5.002983568313332e-06,,AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN,8,,3.006744809173797e-08,5.002983568313332e-06,-3.56929659843445,Up,5.300770923501274,AMY1B;AMY1C;AMY1A,Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A,AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN,P0DTE7;P0DTE8;P0DUB6
3.4331191778183,8.494314968585973,,2.826304067972585e-06,8.182300080883175e-05,,MIME_HUMAN,8,,2.826304067972585e-06,8.182300080883175e-05,-3.4331191778183,Up,4.087124597059365,OGN,Mimecan,MIME_HUMAN,P20774
3.31833457946777,,,1.0,1.0,,ATS13_HUMAN,5,,1.0,1.0,-3.31833457946777,Non-significant,-0.0,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,ATS13_HUMAN,Q76LX8
3.30854678153992,9.271654486656189,,7.124441311031303e-07,3.453878559839022e-05,,FMOD_HUMAN,6,,7.124441311031303e-07,3.453878559839022e-05,-3.30854678153992,Up,4.461692936519278,FMOD,Fibromodulin,FMOD_HUMAN,Q06828
3.23514175415039,12.284229278564466,,6.480706792311438e-12,5.309643074940761e-08,,TSP1_HUMAN,8,,6.480706792311438e-12,5.309643074940761e-08,-3.23514175415039,Up,7.274934672100005,THBS1,Thrombospondin-1,TSP1_HUMAN,P07996
3.01441764831543,7.546853542327881,,0.005791079293410499,0.02147793487595947,,LORF1_HUMAN,5,,0.005791079293410499,0.02147793487595947,-3.01441764831543,Up,1.6680074787961048,L1RE1,LINE-1 retrotransposable element ORF1 protein,LORF1_HUMAN,Q9UN81
2.94693922996521,8.614037632942207,,5.842017596444865e-05,0.0007059535422960588,,COL11_HUMAN,6,,5.842017596444865e-05,0.0007059535422960588,-2.94693922996521,Up,3.151223878251787,COLEC11,Collectin-11,COL11_HUMAN,Q9BWP8
2.85136282444,8.853777825832369,,2.0552368858739314e-05,0.0003257787933358484,,DMBT1_HUMAN,8,,2.0552368858739314e-05,0.0003257787933358484,-2.85136282444,Up,3.487077189631487,DMBT1,Scavenger receptor cysteine-rich domain-containing protein DMBT1,DMBT1_HUMAN,Q9UGM3
2.82338523864746,7.460514783859255,,0.000277617461333,0.0021724162948436186,,ALS_HUMAN,6,,0.000277617461333,0.0021724162948436186,-2.82338523864746,Up,2.6630569483144466,IGFALS,Insulin-like growth factor-binding protein complex acid labile subunit,ALS_HUMAN,P35858
2.69741320610046,8.146783232688904,,0.0001439179491098729,0.0013584328998354708,,LCAT_HUMAN,7,,0.0001439179491098729,0.0013584328998354708,-2.69741320610046,Up,2.8669618088109763,LCAT,Phosphatidylcholine-sterol acyltransferase,LCAT_HUMAN,P04180
2.68735980987549,,,1.0,1.0,,CNTN1_HUMAN,5,,1.0,1.0,-2.68735980987549,Non-significant,-0.0,CNTN1,Contactin-1,CNTN1_HUMAN,Q12860
2.67629814147949,12.626647710800189,,2.238096784595848e-08,4.1674379445894965e-06,,CXL10_HUMAN,8,,2.238096784595848e-08,4.1674379445894965e-06,-2.67629814147949,Up,5.380130858332112,CXCL10,C-X-C motif chemokine 10,CXL10_HUMAN,P02778
2.65981912612915,8.129690647125244,,2.661444615871868e-06,7.975375506376793e-05,,FETA_HUMAN,8,,2.661444615871868e-06,7.975375506376793e-05,-2.65981912612915,Up,4.098248859805812,AFP,Alpha-fetoprotein,FETA_HUMAN,P02771
2.46722710132599,,,1.0,1.0,,FAT4_HUMAN,5,,1.0,1.0,-2.46722710132599,Non-significant,-0.0,FAT4,Protocadherin Fat 4,FAT4_HUMAN,Q6V0I7
2.38860726356506,8.685086607933043,,8.858439869875736e-07,4.077370665948983e-05,,CXL11_HUMAN,8,,8.858439869875736e-07,4.077370665948983e-05,-2.38860726356506,Up,4.389619805874569,CXCL11,C-X-C motif chemokine 11,CXL11_HUMAN,O14625
2.3629207611084,6.867941856384277,,3.487068527669427e-05,0.000484229702494841,,ITPR3_HUMAN,7,,3.487068527669427e-05,0.000484229702494841,-2.3629207611084,Up,3.3149485745928184,ITPR3,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR3",ITPR3_HUMAN,Q14573
2.34625172615051,,,1.0,1.0,,OLFL3_HUMAN,5,,1.0,1.0,-2.34625172615051,Non-significant,-0.0,OLFML3,Olfactomedin-like protein 3,OLFL3_HUMAN,Q9NRN5
2.3396852016449,,,1.0,1.0,,HLAG_HUMAN,5,,1.0,1.0,-2.3396852016449,Non-significant,-0.0,HLA-G,"HLA class I histocompatibility antigen, alpha chain G",HLAG_HUMAN,P17693
2.3213062286377,8.456891059875492,,0.00016611863656501935,0.0014972607143863626,,PLTP_HUMAN,6,,0.00016611863656501935,0.0014972607143863626,-2.3213062286377,Up,2.8247025704246016,PLTP,Phospholipid transfer protein,PLTP_HUMAN,P55058
2.29393251736959,7.3700813849767055,,0.006821718502939414,0.024205430790204686,,MK_HUMAN,7,,0.006821718502939414,0.024205430790204686,-2.29393251736959,Up,1.6160871837050208,MDK,Midkine,MK_HUMAN,P21741
2.21626234054565,6.422347068786621,,0.00039092021577125536,0.0028070195686361924,,LN28B_HUMAN,6,,0.00039092021577125536,0.0028070195686361924,-2.21626234054565,Up,2.5517545597484985,LIN28B,Protein lin-28 homolog B,LN28B_HUMAN,Q6ZN17
2.19814896583557,7.672448754310608,,8.154607175454861e-06,0.0001686290137823752,,MX2_HUMAN,7,,8.154607175454861e-06,0.0001686290137823752,-2.19814896583557,Up,3.773067699927653,MX2,Interferon-induced GTP-binding protein Mx2,MX2_HUMAN,P20592
2.158447265625,15.01650094985963,,7.774595987390362e-09,2.5478905969875697e-06,,FIBA_HUMAN,8,,7.774595987390362e-09,2.5478905969875697e-06,-2.158447265625,Up,5.593819223960181,FGA,Fibrinogen alpha chain,FIBA_HUMAN,P02671
2.07527601718903,,,1.0,1.0,,FBLN1_HUMAN,5,,1.0,1.0,-2.07527601718903,Non-significant,-0.0,FBLN1,Fibulin-1,FBLN1_HUMAN,P23142
2.07367173830668,7.262437860171,,0.0005441092157041392,0.003638578121273049,,IF2B2_HUMAN,7,,0.0005441092157041392,0.003638578121273049,-2.07367173830668,Up,2.4390682962204506,IGF2BP2,Insulin-like growth factor 2 mRNA-binding protein 2,IF2B2_HUMAN,Q9Y6M1
2.04856538772583,,,1.0,1.0,,DKK1_HUMAN,5,,1.0,1.0,-2.04856538772583,Non-significant,-0.0,DKK1,Dickkopf-related protein 1,DKK1_HUMAN,O94907
2.02235913276672,13.715733885765065,,3.539526168719323e-10,5.799867580063483e-07,,FGL1_HUMAN,8,,3.539526168719323e-10,5.799867580063483e-07,-2.02235913276672,Up,6.236581921937792,FGL1,Fibrinogen-like protein 1,FGL1_HUMAN,Q08830
1.99930036067963,,,1.0,1.0,,NET4_HUMAN,5,,1.0,1.0,-1.99930036067963,Non-significant,-0.0,NTN4,Netrin-4,NET4_HUMAN,Q9HB63
1.98752236366272,15.293901801109325,,2.7760326443913693e-09,1.4782793248452926e-06,,FIBG_HUMAN,8,,2.7760326443913693e-09,1.4782793248452926e-06,-1.98752236366272,Up,5.8302434970796275,FGG,Fibrinogen gamma chain,FIBG_HUMAN,P02679
1.96957015991211,7.416745185852052,,0.00017898130870064397,0.0015801657997676468,,IFI27_HUMAN,7,,0.00017898130870064397,0.0015801657997676468,-1.96957015991211,Up,2.801297342066826,IFI27,"Interferon alpha-inducible protein 27, mitochondrial",IFI27_HUMAN,P40305
1.95564198493958,10.004176735877987,,2.2998794652511073e-06,7.247274022616278e-05,,CO6A1_HUMAN,8,,2.2998794652511073e-06,7.247274022616278e-05,-1.95564198493958,Up,4.1398253175060225,COL6A1,Collagen alpha-1(VI) chain,CO6A1_HUMAN,P12109
1.94340121746063,8.415250837802887,,5.111349251540822e-06,0.0001228072856829148,,GSTA3_HUMAN,8,,5.111349251540822e-06,0.0001228072856829148,-1.94340121746063,Up,3.910775867412872,GSTA3,Glutathione S-transferase A3,GSTA3_HUMAN,Q16772
1.94063830375671,14.759555459022526,,5.007209355147277e-09,2.051203312336082e-06,,FIBB_HUMAN,8,,5.007209355147277e-09,2.051203312336082e-06,-1.94063830375671,Up,5.687991290850765,FGB,Fibrinogen beta chain,FIBB_HUMAN,P02675
1.90868663787842,9.409068822860704,,3.031422973480443e-06,8.653814781088944e-05,,GSDMB_HUMAN,8,,3.031422973480443e-06,8.653814781088944e-05,-1.90868663787842,Up,4.062792404308526,GSDMB,Gasdermin-B,GSDMB_HUMAN,Q8TAX9
1.88526487350464,11.3749167919159,,0.0033955324480010075,0.01431785761527136,,HBA_HUMAN,8,,0.0033955324480010075,0.01431785761527136,-1.88526487350464,Up,1.844121960762257,HBA2,Hemoglobin subunit alpha,HBA_HUMAN,P69905
1.87684186299642,,,1.0,1.0,,EVPL_HUMAN,4,,1.0,1.0,-1.87684186299642,Non-significant,-0.0,EVPL,Envoplakin,EVPL_HUMAN,Q92817
1.84509992599487,12.717633247375485,,2.686940390074506e-10,5.503525653970107e-07,,ANXA1_HUMAN,8,,2.686940390074506e-10,5.503525653970107e-07,-1.84509992599487,Up,6.259359004776326,ANXA1,Annexin A1,ANXA1_HUMAN,P04083
1.84312009811401,10.767135381698616,,1.324747734374882e-07,1.142490335550885e-05,,SYUG_HUMAN,8,,1.324747734374882e-07,1.142490335550885e-05,-1.84312009811401,Up,4.942147464986491,SNCG,Gamma-synuclein,SYUG_HUMAN,O76070
1.8272500038147,14.99058508872986,,3.682643416745553e-08,5.387838841677913e-06,,FINC_HUMAN,8,,3.682643416745553e-08,5.387838841677913e-06,-1.8272500038147,Up,5.2685854031526045,FN1,Fibronectin,FINC_HUMAN,P02751
1.78353226184845,6.909485042095184,,2.435643410158802e-06,7.501964834372581e-05,,OLFM4_HUMAN,8,,2.435643410158802e-06,7.501964834372581e-05,-1.78353226184845,Up,4.124824975945591,OLFM4,Olfactomedin-4,OLFM4_HUMAN,Q6UX06
1.78094494342804,7.171211659908295,,0.0001284111022874364,0.001253959667510091,,S10AC_HUMAN,8,,0.0001284111022874364,0.001253959667510091,-1.78094494342804,Up,2.9017164319738047,S100A12,Protein S100-A12,S10AC_HUMAN,P80511
1.76256537437439,9.015801787376404,,7.909654047545251e-05,0.000889793555322407,,QSOX1_HUMAN,8,,7.909654047545251e-05,0.000889793555322407,-1.76256537437439,Up,3.0507107441241086,QSOX1,Sulfhydryl oxidase 1,QSOX1_HUMAN,O00391
1.75799334049225,,,1.0,1.0,,OIT3_HUMAN,5,,1.0,1.0,-1.75799334049225,Non-significant,-0.0,OIT3,Oncoprotein-induced transcript 3 protein,OIT3_HUMAN,Q8WWZ8
1.73517024517059,,,1.0,1.0,,PGFRL_HUMAN,5,,1.0,1.0,-1.73517024517059,Non-significant,-0.0,PDGFRL,Platelet-derived growth factor receptor-like protein,PGFRL_HUMAN,Q15198
1.73212158679962,8.751082837581635,,1.2196882101774792e-06,4.9969217394696485e-05,,PGBM_HUMAN,8,,1.2196882101774792e-06,4.9969217394696485e-05,-1.73212158679962,Up,4.301297452314995,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,PGBM_HUMAN,P98160
1.70290517807007,9.78643679618836,,1.0055566779841524e-05,0.00019615537768390858,,GDF15_HUMAN,8,,1.0055566779841524e-05,0.00019615537768390858,-1.70290517807007,Up,3.7073997810015253,GDF15,Growth/differentiation factor 15,GDF15_HUMAN,Q99988
1.69740581512451,11.95371890068054,,2.9158835870966593e-06,8.411913460944693e-05,,SHDAG_HDVD3;LHDAG_HDVD3,8,,2.9158835870966593e-06,8.411913460944693e-05,-1.69740581512451,Up,4.075105203844432,nan,Small delta antigen;Large delta antigen,SHDAG_HDVD3;LHDAG_HDVD3,P0C6L3;P29996
